Ablation_ID,Description,Test_Dice_Overall,Test_Dice_Class1,Test_Dice_Class2,Test_Dice_Class3,Test_Dice_Class4,Test_Dice_Class5,Params_M,Best_Val_Dice,Train_Time_s
A0_full_model,Full BADF-Net (baseline),0.7923,0.7188,0.8447,0.7295,0.6899,0.9785,33.84,0.7067,1965.8
A1_no_BADA,Remove Boundary-Aware Dynamic Attention,0.7683,0.6863,0.8462,0.6837,0.6577,0.9679,31.69,0.7013,1765.3
A2_no_BCE,Remove Boundary Confidence Estimation,0.7533,0.7045,0.8259,0.6386,0.6256,0.9717,33.44,0.6732,1913.7
A3_CSBF_equal_weights,CSBF with fixed equal scale weights,0.787,0.7102,0.8303,0.7164,0.7029,0.9754,33.58,0.6938,1929.3
A4_CSBF_concat,CSBF replaced with concat + 1x1 conv,0.7725,0.7107,0.8187,0.6883,0.6807,0.9642,33.84,0.6942,1951.3
A5_no_boundary_gate,Remove decoder Boundary Gate,0.753,0.6968,0.8395,0.6186,0.6409,0.9695,32.81,0.6692,1748.7
A6_skip_concat,Skip fusion: plain concat (no attention gate),0.7806,0.7141,0.8113,0.7091,0.69,0.9785,33.57,0.6938,1900.8
A7_no_SE,Remove all SE blocks,0.7885,0.7253,0.8605,0.7051,0.6742,0.9776,33.79,0.7052,1824.6
A8_channel_attention_only,BADA: channel attention only,0.7752,0.7064,0.8318,0.6969,0.6587,0.9821,33.84,0.7073,1919.4
A8_spatial_attention_only,BADA: spatial attention only,0.7853,0.7029,0.8282,0.7257,0.6903,0.9797,33.83,0.6924,1913.8
A8_no_attention,BADA: no channel/spatial attention,0.7635,0.7095,0.8154,0.6653,0.6566,0.9705,33.83,0.7007,1878.8
A9_standard_conv,Boundary extraction: standard conv (no depthwise-separable),0.7653,0.7073,0.8249,0.6711,0.6482,0.9751,34.56,0.7061,1942.1
A10_resnet18_backbone,Lighter backbone: ResNet18 instead of ResNet34,0.7636,0.7019,0.8381,0.6701,0.6527,0.9554,23.74,0.6973,1874.1
A11_no_residual_decoder,Remove residual refinement in decoder,0.7815,0.7119,0.8369,0.6971,0.679,0.9823,33.66,0.6916,1933.1
,,,,,,,,,,
,,0.7923,0.7253,0.8605,0.7295,0.7029,0.9823,34.56,0.7073,
