Loss_ID,Description,Test_Dice_Overall,Test_Dice_Class1,Test_Dice_Class2,Test_Dice_Class3,Test_Dice_Class4,Test_Dice_Class5,Best_Val_Dice,Train_Time_s
L0_composite,0.5 Dice + 0.3 Focal + 0.2 Tversky (current choice),0.7792,0.7006,0.8263,0.6961,0.7027,0.9705,0.695,1939.2
L1_dice_only,Dice only,0.7571,0.6882,0.8282,0.654,0.6692,0.9459,0.6703,1928.2
L2_focal_only,Focal only,0.7868,0.7245,0.8338,0.7006,0.6947,0.9806,0.7012,1934.9
L3_tversky_only,"Tversky only (alpha=0.7, beta=0.3)",0.7525,0.6926,0.8143,0.6632,0.6203,0.9721,0.653,1931.4
L4_ce_only,Standard Cross-Entropy only,0.7898,0.7113,0.8363,0.7056,0.715,0.9809,0.711,1927.3
L5_dice_ce,Dice + CE (0.5 / 0.5),0.7836,0.7056,0.8393,0.7122,0.6828,0.9778,0.7052,1933.3
L6_dice_focal,"Dice + Focal (0.5 / 0.5), Tversky dropped",0.7913,0.7234,0.8337,0.7272,0.7036,0.9683,0.7075,1937.5
L7_dice_tversky,"Dice + Tversky (0.5 / 0.5), Focal dropped",0.7411,0.6989,0.8034,0.6358,0.6143,0.9529,0.6686,1943.2
L8_equal_composite,Composite with equal weights (0.33/0.33/0.33),0.7886,0.7266,0.8562,0.6963,0.6844,0.9797,0.7083,1950.5
L9_composite_tversky_recall,"Composite, Tversky alpha=0.3/beta=0.7 (favor recall)",0.7633,0.7317,0.8544,0.6495,0.6136,0.9672,0.6943,1946.9
